pgmigrate_success 16098003
pgmigrate_fail 0
thp_migration_success 31414
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 32653
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 4609698
htmm_nr_demoted 11477577
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 11269577
htmm_alloc_nvm 6235648
MemTotal:       1184218252 kB
MemFree:        1164994736 kB
MemAvailable:   1162624092 kB
Buffers:            8736 kB
Cached:           391776 kB
SwapCached:            0 kB
Active:           116792 kB
Inactive:        1221204 kB
Active(anon):        636 kB
Inactive(anon):   946052 kB
Active(file):     116156 kB
Inactive(file):   275152 kB
Unevictable:        3108 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                24 kB
Writeback:             0 kB
AnonPages:        940696 kB
Mapped:           383052 kB
Shmem:              9176 kB
KReclaimable:     409588 kB
Slab:             668568 kB
SReclaimable:     409588 kB
SUnreclaim:       258980 kB
KernelStack:       16784 kB
PageTables:        20960 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592109124 kB
Committed_AS:    4743000 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:      161748 kB
VmallocChunk:          0 kB
Percpu:            62016 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      630244 kB
DirectMap2M:     7196672 kB
DirectMap1G:    1180696576 kB
