pgmigrate_success 150238043
pgmigrate_fail 2637
thp_migration_success 236240
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 199221
thp_fault_fallback 15653
thp_fault_fallback_charge 0
thp_collapse_alloc 103
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 1798
thp_split_page_failed 0
thp_deferred_split_page 1828
thp_split_pmd 1989
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 34329767
htmm_nr_demoted 115665188
htmm_nr_sampled 0
htmm_missed_dramread 18
htmm_missed_nvmread 1780
htmm_missed_write 0
htmm_alloc_dram 103708498
htmm_alloc_nvm 7897079
MemTotal:       1184218252 kB
MemFree:        1164146568 kB
MemAvailable:   1162045896 kB
Buffers:          215680 kB
Cached:           542772 kB
SwapCached:            0 kB
Active:           321348 kB
Inactive:        1668632 kB
Active(anon):        536 kB
Inactive(anon):  1240296 kB
Active(file):     320812 kB
Inactive(file):   428336 kB
Unevictable:        3208 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               112 kB
Writeback:             0 kB
AnonPages:       1232976 kB
Mapped:           291328 kB
Shmem:              9176 kB
KReclaimable:     591696 kB
Slab:             856040 kB
SReclaimable:     591696 kB
SUnreclaim:       264344 kB
KernelStack:       16848 kB
PageTables:        26092 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592109124 kB
Committed_AS:    4979668 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:      162060 kB
VmallocChunk:          0 kB
Percpu:            63552 kB
HardwareCorrupted:     0 kB
AnonHugePages:    159744 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      550372 kB
DirectMap2M:     7276544 kB
DirectMap1G:    1180696576 kB
