pgmigrate_success 18475633
pgmigrate_fail 298
thp_migration_success 36052
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 65307
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 10
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 9
thp_split_pmd 49
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 212992
htmm_nr_demoted 18251358
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 21582435
htmm_alloc_nvm 12692219
MemTotal:       1184218252 kB
MemFree:        1164979584 kB
MemAvailable:   1162614432 kB
Buffers:           12212 kB
Cached:           402164 kB
SwapCached:            0 kB
Active:           123300 kB
Inactive:        1248896 kB
Active(anon):       1676 kB
Inactive(anon):   965344 kB
Active(file):     121624 kB
Inactive(file):   283552 kB
Unevictable:        3104 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                32 kB
Writeback:             0 kB
AnonPages:        954780 kB
Mapped:           379412 kB
Shmem:              9176 kB
KReclaimable:     406452 kB
Slab:             665648 kB
SReclaimable:     406452 kB
SUnreclaim:       259196 kB
KernelStack:       16864 kB
PageTables:        21136 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592109124 kB
Committed_AS:    4783176 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:      162104 kB
VmallocChunk:          0 kB
Percpu:            62592 kB
HardwareCorrupted:     0 kB
AnonHugePages:      6144 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      644580 kB
DirectMap2M:     7182336 kB
DirectMap1G:    1180696576 kB
