pgmigrate_success 29015461
pgmigrate_fail 354
thp_migration_success 56633
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 97982
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 31
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 20
thp_split_pmd 68
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 3127383
htmm_nr_demoted 25876626
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 29926386
htmm_alloc_nvm 21130928
MemTotal:       1184218252 kB
MemFree:        1164581340 kB
MemAvailable:   1162396996 kB
Buffers:           11264 kB
Cached:           761556 kB
SwapCached:            0 kB
Active:           125768 kB
Inactive:        1614972 kB
Active(anon):        516 kB
Inactive(anon):   976608 kB
Active(file):     125252 kB
Inactive(file):   638364 kB
Unevictable:        3104 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                92 kB
Writeback:             0 kB
AnonPages:        969228 kB
Mapped:           379500 kB
Shmem:              9176 kB
KReclaimable:     409628 kB
Slab:             668804 kB
SReclaimable:     409628 kB
SUnreclaim:       259176 kB
KernelStack:       16544 kB
PageTables:        21028 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592109124 kB
Committed_AS:    4782328 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:      162168 kB
VmallocChunk:          0 kB
Percpu:            63168 kB
HardwareCorrupted:     0 kB
AnonHugePages:     49152 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      644580 kB
DirectMap2M:     7182336 kB
DirectMap1G:    1180696576 kB
