pgmigrate_success 38180352
pgmigrate_fail 92
thp_migration_success 50186
thp_migration_fail 2
thp_migration_split 0
thp_fault_alloc 43875
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 67
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 27
thp_split_pmd 27
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 7074624
htmm_nr_demoted 31076951
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 20907704
htmm_alloc_nvm 2683113
MemTotal:       1184223252 kB
MemFree:        1152127884 kB
MemAvailable:   1161213052 kB
Buffers:            8580 kB
Cached:         12982824 kB
SwapCached:            0 kB
Active:           116196 kB
Inactive:       14052132 kB
Active(anon):        572 kB
Inactive(anon):  1206656 kB
Active(file):     115624 kB
Inactive(file): 12845476 kB
Unevictable:        5644 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 4 kB
Writeback:             0 kB
AnonPages:       1182428 kB
Mapped:           535120 kB
Shmem:             30304 kB
KReclaimable:     433544 kB
Slab:             695048 kB
SReclaimable:     433544 kB
SUnreclaim:       261504 kB
KernelStack:       18480 kB
PageTables:        24920 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592111624 kB
Committed_AS:    5961808 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:      198352 kB
VmallocChunk:          0 kB
Percpu:            62976 kB
HardwareCorrupted:     0 kB
AnonHugePages:    108544 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      560612 kB
DirectMap2M:     7266304 kB
DirectMap1G:    1180696576 kB
