pgmigrate_success 126734766
pgmigrate_fail 1278
thp_migration_success 201504
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 174108
thp_fault_fallback 4949
thp_fault_fallback_charge 0
thp_collapse_alloc 26
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 1798
thp_split_page_failed 0
thp_deferred_split_page 1823
thp_split_pmd 1932
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 27201930
htmm_nr_demoted 99311101
htmm_nr_sampled 0
htmm_missed_dramread 18
htmm_missed_nvmread 1780
htmm_missed_write 0
htmm_alloc_dram 85634332
htmm_alloc_nvm 7462997
MemTotal:       1184218252 kB
MemFree:        1145337236 kB
MemAvailable:   1161472776 kB
Buffers:            9280 kB
Cached:         20042244 kB
SwapCached:            0 kB
Active:           152032 kB
Inactive:       20913676 kB
Active(anon):        728 kB
Inactive(anon):  1022748 kB
Active(file):     151304 kB
Inactive(file): 19890928 kB
Unevictable:        3208 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:              1936 kB
Writeback:             0 kB
AnonPages:       1013036 kB
Mapped:           379752 kB
Shmem:              9172 kB
KReclaimable:     372204 kB
Slab:             625740 kB
SReclaimable:     372204 kB
SUnreclaim:       253536 kB
KernelStack:       16908 kB
PageTables:        23424 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592109124 kB
Committed_AS:    4793548 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:      161908 kB
VmallocChunk:          0 kB
Percpu:            62976 kB
HardwareCorrupted:     0 kB
AnonHugePages:      4096 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      548324 kB
DirectMap2M:     7278592 kB
DirectMap1G:    1180696576 kB
