pgmigrate_success 89001009
pgmigrate_fail 0
thp_migration_success 141419
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 107434
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 11
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 1798
thp_split_page_failed 0
thp_deferred_split_page 1807
thp_split_pmd 1877
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 15970308
htmm_nr_demoted 73024002
htmm_nr_sampled 0
htmm_missed_dramread 18
htmm_missed_nvmread 1780
htmm_missed_write 0
htmm_alloc_dram 49949267
htmm_alloc_nvm 6347866
MemTotal:       1184218252 kB
MemFree:        1142847452 kB
MemAvailable:   1161455664 kB
Buffers:           12764 kB
Cached:         22511764 kB
SwapCached:            0 kB
Active:           121580 kB
Inactive:       23414408 kB
Active(anon):        736 kB
Inactive(anon):  1020028 kB
Active(file):     120844 kB
Inactive(file): 22394380 kB
Unevictable:        3208 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                16 kB
Writeback:             0 kB
AnonPages:       1009532 kB
Mapped:           379764 kB
Shmem:              9172 kB
KReclaimable:     371564 kB
Slab:             625224 kB
SReclaimable:     371564 kB
SUnreclaim:       253660 kB
KernelStack:       16848 kB
PageTables:        23184 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592109124 kB
Committed_AS:    4793548 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:      161780 kB
VmallocChunk:          0 kB
Percpu:            62400 kB
HardwareCorrupted:     0 kB
AnonHugePages:      6144 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      548324 kB
DirectMap2M:     7278592 kB
DirectMap1G:    1180696576 kB
