pgmigrate_success 94435229
pgmigrate_fail 11
thp_migration_success 152065
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 107070
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 307
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 232
thp_split_pmd 1464
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 25709163
htmm_nr_demoted 68627772
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 50730561
htmm_alloc_nvm 9303733
MemTotal:       1184223252 kB
MemFree:        1077992396 kB
MemAvailable:   1099620800 kB
Buffers:          284160 kB
Cached:         24952976 kB
SwapCached:            0 kB
Active:         14874792 kB
Inactive:       72435068 kB
Active(anon):   14256016 kB
Inactive(anon): 47830620 kB
Active(file):     618776 kB
Inactive(file): 24604448 kB
Unevictable:        3108 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:              1892 kB
Writeback:             0 kB
AnonPages:      43109764 kB
Mapped:           443924 kB
Shmem:             13832 kB
KReclaimable:     987572 kB
Slab:            1440444 kB
SReclaimable:     987572 kB
SUnreclaim:       452872 kB
KernelStack:       17692 kB
PageTables:       108220 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592111624 kB
Committed_AS:   80318900 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:      289304 kB
VmallocChunk:          0 kB
Percpu:           126528 kB
HardwareCorrupted:     0 kB
AnonHugePages:  41857024 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      953828 kB
DirectMap2M:     8970240 kB
DirectMap1G:    1178599424 kB
