pgmigrate_success 66537068
pgmigrate_fail 11
thp_migration_success 108317
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 71640
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 295
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 172
thp_split_pmd 1243
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 18600007
htmm_nr_demoted 47842077
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 35580647
htmm_alloc_nvm 5764159
MemTotal:       1184223252 kB
MemFree:        1139674136 kB
MemAvailable:   1161421356 kB
Buffers:           21600 kB
Cached:         25700624 kB
SwapCached:            0 kB
Active:           246032 kB
Inactive:       26429072 kB
Active(anon):        712 kB
Inactive(anon):   967132 kB
Active(file):     245320 kB
Inactive(file): 25461940 kB
Unevictable:          20 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               204 kB
Writeback:             0 kB
AnonPages:        949812 kB
Mapped:           379692 kB
Shmem:             14944 kB
KReclaimable:     265324 kB
Slab:             542048 kB
SReclaimable:     265324 kB
SUnreclaim:       276724 kB
KernelStack:       15824 kB
PageTables:        19756 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592111624 kB
Committed_AS:    4045084 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:      278248 kB
VmallocChunk:          0 kB
Percpu:           110400 kB
HardwareCorrupted:     0 kB
AnonHugePages:    243712 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      908772 kB
DirectMap2M:     9015296 kB
DirectMap1G:    1178599424 kB
